,shotnr,tdiv_mean,useful
1228,29780,-0.7,useful
1459,30117,-0.7,useful
1284,29844,-0.7,useful
2524,31682,-0.7,useful
1467,30163,-0.7,useful
1111,29644,-0.7,useful
1393,29980,-0.7,useful
1457,30063,-0.7,useful
1019,29525,-0.7,useful
1638,30442,-0.7,useful
1095,29624,-0.7,useful
2496,31652,-0.7,useful
1110,29643,-0.7,useful
1109,29642,-0.7,useful
1536,30289,-0.7,useful
1376,29960,-0.7,useful
1379,29963,-0.7,useful
1036,29554,-0.7,useful
1544,30298,-0.7,useful
1145,29681,-0.7,useful
2443,31587,-0.7,useful
1148,29684,-0.7,useful
1335,29909,-0.7,useful
1334,29907,-0.7,useful
1408,30000,-0.7,useful
1463,30124,-0.7,useful
1256,29814,-0.7,useful
2532,31690,-0.7,useful
1489,30208,-0.7,useful
2343,31455,-0.7,useful
2547,31722,-0.7,useful
1159,29700,-0.7,useful
1400,29988,-0.7,useful
1324,29893,-0.7,useful
1436,30038,-0.7,useful
1549,30303,-0.7,useful
1340,29914,-0.7,useful
1272,29831,-0.7,useful
1277,29837,-0.7,useful
1405,29995,-0.7,useful
1879,30780,-0.7,useful
1390,29976,-0.7,useful
594,28868,-0.7,useful
1927,30837,-0.7,useful
1926,30836,-0.7,useful
1923,30833,-0.7,useful
1918,30827,-0.7,useful
610,28887,-0.7,useful
2613,31956,-0.7,useful
1899,30804,-0.7,useful
1897,30802,-0.7,useful
1954,30902,-0.7,useful
1896,30801,-0.7,useful
337,28452,-0.7,useful
2224,31282,-0.7,useful
2352,31465,-0.7,useful
658,28954,-0.7,useful
661,28962,-0.7,useful
1867,30768,-0.7,useful
2686,32058,-0.7,useful
1853,30743,-0.7,useful
2233,31294,-0.7,useful
1895,30800,-0.7,useful
1008,29509,-0.7,useful
1962,30910,-0.7,useful
362,28519,-0.7,useful
2049,31019,-0.7,useful
2039,31003,-0.7,useful
2029,30989,-0.7,useful
2717,32115,-0.7,useful
2650,31999,-0.7,useful
2018,30972,-0.7,useful
408,28588,-0.7,useful
2728,32127,-0.7,useful
2007,30958,-0.7,useful
2001,30952,-0.7,useful
403,28582,-0.7,useful
1999,30950,-0.7,useful
2205,31258,-0.7,useful
1992,30941,-0.7,useful
1990,30939,-0.7,useful
2209,31262,-0.7,useful
381,28557,-0.7,useful
1985,30934,-0.7,useful
2211,31264,-0.7,useful
1977,30926,-0.7,useful
1969,30917,-0.7,useful
291,28381,-0.7,useful
289,28378,-0.7,useful
672,28973,-0.7,useful
1735,30585,-0.7,useful
1741,30592,-0.7,useful
1844,30730,-0.7,useful
1733,30583,-0.7,useful
1713,30558,-0.7,useful
839,29265,-0.7,useful
2578,31755,-0.7,useful
880,29325,-0.7,useful
1693,30533,-0.7,useful
896,29345,-0.7,useful
166,28221,-0.7,useful
110,28140,-0.7,useful
926,29379,-0.7,useful
1669,30496,-0.7,useful
107,28134,-0.7,useful
938,29395,-0.7,useful
942,29399,-0.7,useful
2570,31746,-0.7,useful
2295,31386,-0.7,useful
972,29434,-0.7,useful
979,29462,-0.7,useful
2363,31476,-0.7,useful
2580,31765,-0.7,useful
2697,32092,-0.7,useful
2796,32242,-0.7,useful
2774,32207,-0.7,useful
703,29053,-0.7,useful
1824,30692,-0.7,useful
2285,31376,-0.7,useful
2604,31929,-0.7,useful
2771,32204,-0.7,useful
1818,30686,-0.7,useful
1836,30719,-0.7,useful
2826,32505,-0.7,useful
735,29100,-0.7,useful
681,28990,-0.7,useful
1799,30665,-0.7,useful
740,29108,-0.7,useful
1791,30656,-0.7,useful
1764,30622,-0.7,useful
2109,31116,-0.6,useful
2147,31161,-0.6,useful
2154,31170,-0.6,useful
1428,30030,-0.6,useful
2158,31200,-0.6,useful
2278,31368,-0.6,useful
2452,31599,-0.6,useful
2221,31279,-0.6,useful
1394,29981,-0.6,useful
1458,30112,-0.6,useful
2262,31342,-0.6,useful
1454,30060,-0.6,useful
1439,30041,-0.6,useful
2290,31381,-0.6,useful
2345,31457,-0.6,useful
2240,31305,-0.6,useful
1646,30468,-0.6,useful
2028,30985,-0.6,useful
1841,30727,-0.6,useful
1837,30720,-0.6,useful
1832,30714,-0.6,useful
1831,30701,-0.6,useful
1830,30700,-0.6,useful
1825,30693,-0.6,useful
1821,30689,-0.6,useful
1820,30688,-0.6,useful
1817,30685,-0.6,useful
1762,30620,-0.6,useful
1607,30398,-0.6,useful
2398,31532,-0.6,useful
1717,30564,-0.6,useful
1692,30532,-0.6,useful
1686,30526,-0.6,useful
1635,30439,-0.6,useful
1658,30482,-0.6,useful
2419,31556,-0.6,useful
1476,30183,-0.6,useful
1845,30731,-0.6,useful
1876,30777,-0.6,useful
1477,30184,-0.6,useful
1482,30195,-0.6,useful
2025,30980,-0.6,useful
2015,30966,-0.6,useful
2014,30965,-0.6,useful
2000,30951,-0.6,useful
1997,30948,-0.6,useful
1994,30945,-0.6,useful
1991,30940,-0.6,useful
1989,30938,-0.6,useful
1988,30937,-0.6,useful
1984,30933,-0.6,useful
1968,30916,-0.6,useful
1913,30821,-0.6,useful
1894,30799,-0.6,useful
1884,30788,-0.6,useful
1391,29977,-0.6,useful
1851,30740,-0.6,useful
1956,30904,-0.6,useful
1152,29692,-0.6,useful
1384,29968,-0.6,useful
997,29491,-0.6,useful
999,29493,-0.6,useful
1013,29516,-0.6,useful
1030,29536,-0.6,useful
2533,31692,-0.6,useful
529,28777,-0.6,useful
1057,29582,-0.6,useful
1082,29608,-0.6,useful
508,28749,-0.6,useful
2568,31744,-0.6,useful
1104,29634,-0.6,useful
490,28726,-0.6,useful
477,28711,-0.6,useful
1178,29723,-0.6,useful
2707,32103,-0.6,useful
1198,29745,-0.6,useful
447,28664,-0.6,useful
2712,32110,-0.6,useful
1245,29800,-0.6,useful
1251,29809,-0.6,useful
1120,29654,-0.6,useful
439,28656,-0.6,useful
973,29435,-0.6,useful
554,28811,-0.6,useful
2607,31932,-0.6,useful
664,28965,-0.6,useful
2602,31925,-0.6,useful
749,29118,-0.6,useful
655,28951,-0.6,useful
650,28945,-0.6,useful
633,28914,-0.6,useful
2612,31955,-0.6,useful
790,29196,-0.6,useful
553,28810,-0.6,useful
625,28903,-0.6,useful
606,28883,-0.6,useful
2579,31758,-0.6,useful
822,29244,-0.6,useful
871,29315,-0.6,useful
873,29317,-0.6,useful
911,29361,-0.6,useful
923,29375,-0.6,useful
2637,31985,-0.6,useful
555,28812,-0.6,useful
607,28884,-0.6,useful
437,28653,-0.6,useful
523,28770,-0.6,useful
392,28568,-0.6,useful
3201,34267,-0.6,useful
387,28563,-0.6,useful
398,28574,-0.6,useful
2840,32814,-0.6,useful
399,28575,-0.6,useful
1323,29892,-0.6,useful
1332,29905,-0.6,useful
2747,32174,-0.6,useful
400,28576,-0.6,useful
382,28558,-0.6,useful
401,28577,-0.6,useful
56,28074,-0.6,useful
2749,32176,-0.6,useful
163,28218,-0.6,useful
1337,29911,-0.6,useful
1371,29953,-0.6,useful
385,28561,-0.6,useful
1263,29821,-0.6,useful
316,28421,-0.6,useful
1306,29870,-0.6,useful
1303,29867,-0.6,useful
2716,32114,-0.6,useful
2773,32206,-0.6,useful
622,28900,-0.5,useful
3180,34228,-0.5,useful
2850,32828,-0.5,useful
1922,30832,-0.5,useful
1960,30908,-0.5,useful
2633,31981,-0.5,useful
220,28282,-0.5,useful
2797,32243,-0.5,useful
583,28853,-0.5,useful
1955,30903,-0.5,useful
585,28855,-0.5,useful
1947,30894,-0.5,useful
1928,30838,-0.5,useful
581,28851,-0.5,useful
582,28852,-0.5,useful
428,28636,-0.5,useful
1903,30810,-0.5,useful
706,29056,-0.5,useful
704,29054,-0.5,useful
702,29052,-0.5,useful
671,28972,-0.5,useful
670,28971,-0.5,useful
667,28968,-0.5,useful
1862,30763,-0.5,useful
1863,30764,-0.5,useful
1865,30766,-0.5,useful
1386,29970,-0.5,useful
25,28040,-0.5,useful
26,28041,-0.5,useful
47,28065,-0.5,useful
657,28953,-0.5,useful
1871,30772,-0.5,useful
104,28131,-0.5,useful
649,28944,-0.5,useful
646,28941,-0.5,useful
644,28933,-0.5,useful
634,28915,-0.5,useful
130,28167,-0.5,useful
572,28831,-0.5,useful
632,28913,-0.5,useful
151,28205,-0.5,useful
570,28829,-0.5,useful
288,28377,-0.5,useful
568,28825,-0.5,useful
2031,30991,-0.5,useful
502,28742,-0.5,useful
501,28741,-0.5,useful
499,28739,-0.5,useful
2051,31021,-0.5,useful
2054,31024,-0.5,useful
493,28729,-0.5,useful
2723,32121,-0.5,useful
488,28724,-0.5,useful
507,28748,-0.5,useful
412,28592,-0.5,useful
2164,31206,-0.5,useful
449,28666,-0.5,useful
2161,31203,-0.5,useful
2708,32104,-0.5,useful
2102,31109,-0.5,useful
2160,31202,-0.5,useful
2718,32116,-0.5,useful
440,28657,-0.5,useful
2156,31198,-0.5,useful
2064,31035,-0.5,useful
509,28750,-0.5,useful
522,28769,-0.5,useful
1828,30696,-0.5,useful
1970,30918,-0.5,useful
1973,30922,-0.5,useful
567,28824,-0.5,useful
1975,30924,-0.5,useful
2763,32194,-0.5,useful
1976,30925,-0.5,useful
421,28603,-0.5,useful
1978,30927,-0.5,useful
1979,30928,-0.5,useful
559,28816,-0.5,useful
556,28813,-0.5,useful
2759,32190,-0.5,useful
1995,30946,-0.5,useful
384,28560,-0.5,useful
550,28806,-0.5,useful
1998,30949,-0.5,useful
548,28804,-0.5,useful
2640,31988,-0.5,useful
543,28797,-0.5,useful
542,28796,-0.5,useful
386,28562,-0.5,useful
569,28828,-0.5,useful
1826,30694,-0.5,useful
1866,30767,-0.5,useful
1653,30475,-0.5,useful
933,29386,-0.5,useful
932,29385,-0.5,useful
931,29384,-0.5,useful
930,29383,-0.5,useful
912,29362,-0.5,useful
910,29360,-0.5,useful
909,29359,-0.5,useful
901,29351,-0.5,useful
1444,30049,-0.5,useful
945,29402,-0.5,useful
899,29349,-0.5,useful
1443,30045,-0.5,useful
1162,29703,-0.5,useful
872,29316,-0.5,useful
1704,30548,-0.5,useful
851,29287,-0.5,useful
1440,30042,-0.5,useful
821,29243,-0.5,useful
1434,30036,-0.5,useful
1720,30567,-0.5,useful
898,29348,-0.5,useful
800,29210,-0.5,useful
959,29419,-0.5,useful
1453,30059,-0.5,useful
2428,31566,-0.5,useful
2521,31679,-0.5,useful
1167,29711,-0.5,useful
1204,29751,-0.5,useful
1096,29625,-0.5,useful
1214,29762,-0.5,useful
1089,29618,-0.5,useful
1242,29797,-0.5,useful
1247,29802,-0.5,useful
968,29430,-0.5,useful
1252,29810,-0.5,useful
1262,29820,-0.5,useful
1043,29562,-0.5,useful
1460,30120,-0.5,useful
2490,31646,-0.5,useful
1302,29866,-0.5,useful
1637,30441,-0.5,useful
1018,29524,-0.5,useful
1017,29523,-0.5,useful
1010,29511,-0.5,useful
1055,29580,-0.5,useful
793,29199,-0.5,useful
1153,29693,-0.5,useful
791,29197,-0.5,useful
1427,30028,-0.5,useful
737,29102,-0.5,useful
741,29109,-0.5,useful
1338,29912,-0.5,useful
1362,29941,-0.5,useful
1407,29998,-0.5,useful
725,29083,-0.5,useful
734,29099,-0.5,useful
722,29080,-0.5,useful
1760,30618,-0.5,useful
1429,30031,-0.5,useful
1430,30032,-0.5,useful
1811,30677,-0.5,useful
1426,30027,-0.5,useful
770,29173,-0.5,useful
792,29198,-0.5,useful
771,29174,-0.5,useful
1368,29947,-0.5,useful
1425,30026,-0.5,useful
1423,30024,-0.5,useful
1373,29957,-0.5,useful
778,29183,-0.5,useful
1378,29962,-0.5,useful
1414,30006,-0.5,useful
780,29185,-0.5,useful
1361,29940,-0.5,useful
427,28635,-0.4,useful
1356,29934,-0.4,useful
159,28214,-0.4,useful
1253,29811,-0.4,useful
1255,29813,-0.4,useful
444,28661,-0.4,useful
443,28660,-0.4,useful
1410,30002,-0.4,useful
2104,31111,-0.4,useful
87,28114,-0.4,useful
445,28662,-0.4,useful
2502,31658,-0.4,useful
1201,29748,-0.4,useful
1191,29738,-0.4,useful
451,28668,-0.4,useful
2703,32098,-0.4,useful
1372,29956,-0.4,useful
1163,29706,-0.4,useful
441,28658,-0.4,useful
1271,29830,-0.4,useful
2777,32213,-0.4,useful
2157,31199,-0.4,useful
1433,30035,-0.4,useful
380,28556,-0.4,useful
1437,30039,-0.4,useful
1438,30040,-0.4,useful
1318,29887,-0.4,useful
379,28555,-0.4,useful
1441,30043,-0.4,useful
1336,29910,-0.4,useful
2754,32181,-0.4,useful
397,28573,-0.4,useful
335,28449,-0.4,useful
2757,32184,-0.4,useful
1448,30054,-0.4,useful
2745,32172,-0.4,useful
308,28400,-0.4,useful
2761,32192,-0.4,useful
301,28393,-0.4,useful
2724,32122,-0.4,useful
2486,31641,-0.4,useful
410,28590,-0.4,useful
256,28332,-0.4,useful
411,28591,-0.4,useful
2166,31208,-0.4,useful
1455,30061,-0.4,useful
2830,32550,-0.4,useful
1424,30025,-0.4,useful
2472,31626,-0.4,useful
1461,30122,-0.4,useful
1315,29884,-0.4,useful
712,29069,-0.4,useful
491,28727,-0.4,useful
1870,30771,-0.4,useful
2601,31922,-0.4,useful
2597,31917,-0.4,useful
2584,31857,-0.4,useful
648,28943,-0.4,useful
647,28942,-0.4,useful
645,28936,-0.4,useful
636,28917,-0.4,useful
773,29177,-0.4,useful
777,29182,-0.4,useful
631,28912,-0.4,useful
779,29184,-0.4,useful
2619,31966,-0.4,useful
597,28871,-0.4,useful
823,29245,-0.4,useful
596,28870,-0.4,useful
2682,32054,-0.4,useful
744,29112,-0.4,useful
1796,30661,-0.4,useful
1797,30662,-0.4,useful
666,28967,-0.4,useful
711,29068,-0.4,useful
720,29078,-0.4,useful
1827,30695,-0.4,useful
721,29079,-0.4,useful
710,29067,-0.4,useful
1834,30717,-0.4,useful
732,29096,-0.4,useful
701,29051,-0.4,useful
837,29261,-0.4,useful
680,28989,-0.4,useful
676,28984,-0.4,useful
1850,30739,-0.4,useful
675,28982,-0.4,useful
1852,30742,-0.4,useful
674,28975,-0.4,useful
733,29098,-0.4,useful
1815,30683,-0.4,useful
1814,30682,-0.4,useful
677,28985,-0.4,useful
881,29326,-0.4,useful
824,29247,-0.4,useful
885,29333,-0.4,useful
2647,31996,-0.4,useful
524,28771,-0.4,useful
1056,29581,-0.4,useful
1064,29589,-0.4,useful
713,29070,-0.4,useful
511,28752,-0.4,useful
1093,29622,-0.4,useful
1094,29623,-0.4,useful
1097,29626,-0.4,useful
1118,29652,-0.4,useful
500,28740,-0.4,useful
1128,29663,-0.4,useful
498,28738,-0.4,useful
497,28736,-0.4,useful
1143,29679,-0.4,useful
495,28732,-0.4,useful
492,28728,-0.4,useful
2572,31748,-0.4,useful
527,28775,-0.4,useful
2013,30964,-0.4,useful
552,28809,-0.4,useful
900,29350,-0.4,useful
1971,30919,-0.4,useful
902,29352,-0.4,useful
566,28823,-0.4,useful
563,28820,-0.4,useful
557,28814,-0.4,useful
963,29425,-0.4,useful
539,28791,-0.4,useful
551,28807,-0.4,useful
513,28754,-0.4,useful
549,28805,-0.4,useful
547,28803,-0.4,useful
1636,30440,-0.4,useful
2002,30953,-0.4,useful
544,28798,-0.4,useful
2004,30955,-0.4,useful
2555,31730,-0.4,useful
3145,34100,-0.3,useful
3531,34672,-0.3,useful
2726,32125,-0.3,useful
2704,32099,-0.3,useful
2762,32193,-0.3,useful
3186,34234,-0.3,useful
2641,31989,-0.3,useful
5,28007,-0.3,useful
665,28966,-0.3,useful
1032,29550,-0.3,useful
105,28132,-0.3,useful
1040,29558,-0.3,useful
1044,29563,-0.3,useful
416,28596,-0.3,useful
415,28595,-0.3,useful
409,28589,-0.3,useful
1090,29619,-0.3,useful
1103,29633,-0.3,useful
1108,29641,-0.3,useful
406,28586,-0.3,useful
1124,29659,-0.3,useful
405,28585,-0.3,useful
526,28773,-0.3,useful
1176,29720,-0.3,useful
8,28010,-0.3,useful
429,28641,-0.3,useful
956,29415,-0.3,useful
442,28659,-0.3,useful
546,28802,-0.3,useful
558,28815,-0.3,useful
510,28751,-0.3,useful
573,28832,-0.3,useful
584,28854,-0.3,useful
598,28872,-0.3,useful
599,28873,-0.3,useful
1192,29739,-0.3,useful
473,28698,-0.3,useful
723,29081,-0.3,useful
742,29110,-0.3,useful
758,29157,-0.3,useful
759,29158,-0.3,useful
452,28670,-0.3,useful
772,29175,-0.3,useful
446,28663,-0.3,useful
621,28899,-0.3,useful
404,28584,-0.3,useful
1175,29719,-0.3,useful
1205,29752,-0.3,useful
2232,31293,-0.3,useful
2012,30963,-0.3,useful
1996,30947,-0.3,useful
219,28281,-0.3,useful
184,28241,-0.3,useful
225,28288,-0.3,useful
226,28289,-0.3,useful
231,28295,-0.3,useful
1576,30358,-0.3,useful
2326,31434,-0.3,useful
242,28314,-0.3,useful
1435,30037,-0.3,useful
1432,30034,-0.3,useful
1564,30326,-0.3,useful
525,28772,-0.3,useful
1398,29986,-0.3,useful
1341,29915,-0.3,useful
402,28581,-0.3,useful
358,28513,-0.3,useful
1317,29886,-0.3,useful
1225,29777,-0.3,useful
326,28434,-0.3,useful
1298,29862,-0.3,useful
327,28435,-0.3,useful
3182,34230,-0.2,useful
2868,32935,-0.2,useful
489,28725,-0.2,useful
181,28238,-0.2,useful
3398,34520,-0.2,useful
478,28713,-0.2,useful
275,28362,-0.2,useful
2701,32096,-0.2,useful
3146,34101,-0.2,useful
2758,32189,-0.2,useful
228,28292,-0.2,useful
407,28587,-0.2,useful
3672,34856,-0.2,useful
450,28667,-0.2,useful
183,28240,-0.2,useful
248,28320,-0.2,useful
263,28339,-0.2,useful
3450,34577,-0.2,useful
470,28695,-0.2,useful
3032,33691,-0.2,useful
1259,29817,-0.2,useful
1193,29740,-0.2,useful
1207,29754,-0.2,useful
1221,29773,-0.2,useful
3755,34958,-0.2,useful
