,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
46,2.85,8.46,0.51,jsat,2?,2.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,0.000806536239502
14,0.21,1.97,0.15,jsat,4.5,4.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,0.000824141936775
13,7.72,20.37,1.01,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.00082552724129
98,3.57,9.46,0.01,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.000841166455718
99,3.84,7.82,0.2,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.000864765775765
59,,0.0,1.05,jsat,4,10.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.000896268782738
108,2.9,14.0,0.52,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.000898486931375
60,,14.2,,jsat,4,6.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,0.000901224350809
95,5.34,16.06,0.7,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,0.000931115317728
125,,11.34,,jsat,6,10.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.000934364503964
124,,9.17,,jsat,6,2.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.000942296963533
101,2.87,16.54,0.55,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.000955902192206
2,2.38,8.34,0.48,jsat,2,3.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,0.000962414755062
37,6.32,15.76,0.15,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.000968005000661
70,,12.36,,jsat,5,6.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,0.00098922960604
68,4.92,4.04,1.12,jsat,5,5.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,0.000997031018129
96,,13.68,1.38,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.00100493553265
122,,37.34,,jsat,6,2.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.00100670409625
18,5.35,11.71,0.18,jsat,4.5,2.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,0.00102239827555
89,,7.43,1.13,jsat,3,10.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.00103401904363
38,6.59,1.52,0.34,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.00106897104694
107,2.63,16.17,0.45,jsat,2.5,2.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.00107184077776
103,,11.14,1.41,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.00107361832808
8,,25.94,,jsat,2,6.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,0.00107460185989
123,,20.06,,jsat,6,2.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.00108655872707
50,,36.34,,jsat,2?,6.0,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,0.00109732118995
90,,21.63,,jsat,3,6.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,0.00110107101412
19,5.32,9.17,0.21,jsat,4.5,2.5,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,0.0011107874886
40,5.62,10.24,0.69,jsat,3,10.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.00111896547522
44,0.12,18.74,0.43,jsat,2?,3.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,0.00113359560448
100,2.6,18.71,0.48,jsat,2.5,2.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.04-4.20),18.8332,4.51371,0.0,15.0,12.94,8.36,0.00113464872731
7,,11.74,0.82,jsat,2,10.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,0.00114725969739
81,6.54,19.74,0.09,jsat,3.5,2.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,0.00116546990553
111,,16.4,,jsat,5,6.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,0.00119695259973
80,,17.6,,jsat,3.5,6.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,0.00122955901544
17,2.38,5.46,0.07,jsat,4.5,3.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,0.00126209425953
82,6.81,2.46,0.28,jsat,3.5,2.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,0.00128609556466
84,5.84,6.26,0.63,jsat,3.5,10.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,0.00130406827066
