,Quantity,Signal 1,Signal 2,DTW,Delta Ptot,Delta Tdiv,Delta nbar,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar
55,jsat,28767 (5.90-6.31),32233 (2.76-2.96),9.223372036854776e+18,8.12,19.67,2.75,2.15433,0.0,,4.28,11.98,5.13,25.778,0.0,,12.4,31.65,7.88
102,jsat,30506 (3.21-3.27),32201 (3.66-3.93),9.223372036854776e+18,11.92,20.41,3.46,38.314,21.1985,,18.97,-0.47,11.16,19.098,0.0,,7.05,19.94,7.7
132,jsat,30506 (3.21-3.27),32239 (5.80-6.10),9.223372036854776e+18,10.22,11.34,2.14,38.314,21.1985,,18.97,-0.47,11.16,9.46983,0.0,0.0811663,8.75,10.87,9.02
166,jsat,30506 (3.53-3.71),32235 (5.55-5.98),9.223372036854776e+18,5.33,22.28,5.12,38.3254,21.2135,,18.99,-2.39,12.6,25.5361,0.0,0.926972,13.66,19.89,7.48
165,jsat,30506 (3.53-3.71),32235 (4.03-5.00),9.223372036854776e+18,5.31,22.57,5.11,38.3254,21.2135,,18.99,-2.39,12.6,25.5597,0.0,0.934225,13.68,20.18,7.49
164,jsat,30506 (3.53-3.71),32235 (3.49-3.87),9.223372036854776e+18,5.32,23.05,4.6,38.3254,21.2135,,18.99,-2.39,12.6,25.5696,0.0,0.962967,13.67,20.66,8.0
163,jsat,30506 (3.53-3.71),32234 (5.10-5.55),9.223372036854776e+18,6.42,10.15,3.78,38.3254,21.2135,,18.99,-2.39,12.6,25.5233,0.0,0.0506868,12.57,7.76,8.82
162,jsat,30506 (3.53-3.71),32234 (4.69-4.94),9.223372036854776e+18,6.6,7.67,2.81,38.3254,21.2135,,18.99,-2.39,12.6,25.5276,0.0,0.0676609,12.39,5.28,9.79
161,jsat,30506 (3.53-3.71),32234 (3.50-3.70),9.223372036854776e+18,5.65,21.13,3.81,38.3254,21.2135,,18.99,-2.39,12.6,25.546,0.0,2.14927,13.34,18.74,8.79
63,jsat,28767 (5.90-6.31),32228 (3.72-4.00),9.223372036854776e+18,7.71,12.67,2.78,2.15433,0.0,,4.28,11.98,5.13,25.7514,4.76522,,11.99,24.65,7.91
158,jsat,30506 (3.53-3.71),32228 (6.20-6.48),9.223372036854776e+18,7.47,24.18,4.64,38.3254,21.2135,,18.99,-2.39,12.6,25.7023,12.8457,,11.52,21.79,7.96
67,jsat,28767 (5.90-6.31),32233 (3.81-4.00),9.223372036854776e+18,8.09,17.13,2.78,2.15433,0.0,,4.28,11.98,5.13,25.7632,0.0,0.493743,12.37,29.11,7.91
153,jsat,30506 (3.53-3.71),32225 (4.52-4.95),9.223372036854776e+18,9.56,23.76,4.8,38.3254,21.2135,,18.99,-2.39,12.6,19.1233,3.4687,,9.43,21.37,7.8
152,jsat,30506 (3.53-3.71),32225 (3.52-3.70),9.223372036854776e+18,12.03,18.52,4.85,38.3254,21.2135,,18.99,-2.39,12.6,19.1133,3.47633,,6.96,16.13,7.75
151,jsat,30506 (3.53-3.71),32225 (2.70-3.00),9.223372036854776e+18,12.15,20.36,5.05,38.3254,21.2135,,18.99,-2.39,12.6,9.48025,3.49116,,6.84,17.97,7.55
1154,jsat,32239 (3.90-4.20),34188 (3.25-3.42),9.223372036854776e+18,7.85,5.16,0.03,9.47201,0.0,0.122662,8.39,18.67,8.11,18.8302,2.66714,0.0,16.24,23.83,8.08
148,jsat,30506 (3.53-3.71),32201 (3.66-3.93),9.223372036854776e+18,11.94,22.33,4.9,38.3254,21.2135,,18.99,-2.39,12.6,19.098,0.0,,7.05,19.94,7.7
146,jsat,30506 (3.53-3.71),32201 (2.55-2.77),9.223372036854776e+18,11.94,32.1,5.28,38.3254,21.2135,,18.99,-2.39,12.6,9.59389,0.0,,7.05,29.71,7.32
145,jsat,30506 (3.21-3.27),34189 (6.25-6.50),9.223372036854776e+18,4.06,19.52,3.96,38.314,21.1985,,18.97,-0.47,11.16,18.8269,13.0138,0.0,14.91,19.05,7.2
144,jsat,30506 (3.21-3.27),34189 (5.25-5.50),9.223372036854776e+18,4.05,20.02,3.66,38.314,21.1985,,18.97,-0.47,11.16,18.8304,10.1737,0.0,14.92,19.55,7.5
140,jsat,30506 (3.21-3.27),34188 (4.28-4.45),9.223372036854776e+18,3.7,15.58,2.73,38.314,21.1985,,18.97,-0.47,11.16,18.8255,4.51156,0.0,15.27,15.11,8.43
136,jsat,30506 (3.21-3.27),34165 (3.52-3.70),9.223372036854776e+18,,4.24,,38.314,21.1985,,18.97,-0.47,11.16,18.8646,13.2777,0.0,,3.77,
135,jsat,30506 (3.21-3.27),34165 (2.00-2.33),9.223372036854776e+18,,18.44,4.66,38.314,21.1985,,18.97,-0.47,11.16,18.8512,0.0243271,0.0,,17.97,6.5
1167,jsat,32239 (4.56-4.95),34188 (4.04-4.20),9.223372036854776e+18,6.5,1.96,0.03,9.47235,0.0,0.10587,8.5,14.9,8.39,18.8332,4.51371,0.0,15.0,12.94,8.36
134,jsat,30506 (3.21-3.27),32239 (2.11-2.47),9.223372036854776e+18,10.44,30.88,3.83,38.314,21.1985,,18.97,-0.47,11.16,9.47128,0.0,0.0275171,8.53,30.41,7.33
1169,jsat,32239 (4.56-4.95),34188 (4.90-5.06),9.223372036854776e+18,6.27,5.56,0.06,9.47235,0.0,0.10587,8.5,14.9,8.39,18.8245,6.73915,0.0,14.77,9.34,8.33
1170,jsat,32239 (4.56-4.95),34189 (2.87-3.20),9.223372036854776e+18,7.3,9.5,1.02,9.47235,0.0,0.10587,8.5,14.9,8.39,18.8352,5.00709,0.0,15.8,24.4,7.37
91,jsat,28767 (5.90-6.31),34188 (2.24-2.41),9.223372036854776e+18,11.69,29.13,2.76,2.15433,0.0,,4.28,11.98,5.13,18.8204,0.0298251,0.0,15.97,41.11,7.89
92,jsat,28767 (5.90-6.31),34188 (3.25-3.42),9.223372036854776e+18,11.96,11.85,2.95,2.15433,0.0,,4.28,11.98,5.13,18.8302,2.66714,0.0,16.24,23.83,8.08
97,jsat,28767 (5.90-6.31),34189 (4.25-4.50),9.223372036854776e+18,10.81,8.15,2.31,2.15433,0.0,,4.28,11.98,5.13,18.8358,7.42697,0.0,15.09,20.13,7.44
133,jsat,30506 (3.21-3.27),32238 (3.58-3.84),9.223372036854776e+18,10.48,22.62,3.32,38.314,21.1985,,18.97,-0.47,11.16,9.47125,0.0,0.0842352,8.49,22.15,7.84
100,jsat,30506 (3.21-3.27),32201 (2.55-2.77),9.223372036854776e+18,11.92,30.18,3.84,38.314,21.1985,,18.97,-0.47,11.16,9.59389,0.0,,7.05,29.71,7.32
1210,jsat,34165 (2.00-2.33),34188 (3.25-3.42),9.223372036854776e+18,,5.86,1.58,18.8512,0.0243271,0.0,,17.97,6.5,18.8302,2.66714,0.0,16.24,23.83,8.08
216,jsat,30506 (4.31-4.41),32237 (3.74-4.01),9.223372036854776e+18,9.1,16.12,4.62,38.326,21.2213,,17.68,-3.64,13.71,9.4875,0.0,0.0881912,8.58,12.48,9.09
348,jsat,32233 (2.76-2.96),32238 (4.63-5.06),9.223372036854776e+18,3.89,11.89,0.11,25.778,0.0,,12.4,31.65,7.88,9.47207,0.0,0.177642,8.51,19.76,7.99
218,jsat,30506 (4.31-4.41),32238 (4.63-5.06),9.223372036854776e+18,9.17,23.4,5.72,38.326,21.2213,,17.68,-3.64,13.71,9.47207,0.0,0.177642,8.51,19.76,7.99
886,jsat,32234 (4.69-4.94),34189 (4.25-4.50),9.223372036854776e+18,2.7,14.85,2.35,25.5276,0.0,0.0676609,12.39,5.28,9.79,18.8358,7.42697,0.0,15.09,20.13,7.44
469,jsat,32201 (5.90-6.20),32237 (3.74-4.01),9.223372036854776e+18,0.97,27.63,1.72,9.6541,0.0,,9.55,40.11,7.37,9.4875,0.0,0.0881912,8.58,12.48,9.09
910,jsat,32234 (5.10-5.55),34188 (4.04-4.20),9.223372036854776e+18,2.43,5.18,0.46,25.5233,0.0,0.0506868,12.57,7.76,8.82,18.8332,4.51371,0.0,15.0,12.94,8.36
912,jsat,32234 (5.10-5.55),34188 (4.90-5.06),9.223372036854776e+18,2.2,1.58,0.49,25.5233,0.0,0.0506868,12.57,7.76,8.82,18.8245,6.73915,0.0,14.77,9.34,8.33
913,jsat,32234 (5.10-5.55),34189 (2.87-3.20),9.223372036854776e+18,3.23,16.64,1.45,25.5233,0.0,0.0506868,12.57,7.76,8.82,18.8352,5.00709,0.0,15.8,24.4,7.37
436,jsat,32201 (4.55-4.81),32239 (5.80-6.10),9.223372036854776e+18,0.9,14.48,1.28,19.1003,0.0,,9.65,25.35,7.74,9.46983,0.0,0.0811663,8.75,10.87,9.02
