,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
126,,5.57,,jsat,6,10.0,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,10450.528703
17,2.38,5.46,0.07,jsat,4.5,3.0,32201 (3.66-3.93),19.098,0.0,,7.05,19.94,7.7,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,10560.8786876
28,2.81,7.38,0.19,jsat,3,4.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,11043.1809457
102,2.37,22.31,0.45,jsat,2.5,10.0,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,11162.9070689
4,5.35,1.94,0.56,jsat,2,2.5,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,11254.254536
65,7.93,8.63,0.78,jsat,4,10.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,11284.3112414
29,2.69,9.22,0.01,jsat,3,5.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,11506.645243
69,,1.84,1.25,jsat,5,10.0,32225 (3.52-3.70),19.1133,3.47633,,6.96,16.13,7.75,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,12086.4197374
85,5.34,12.03,0.53,jsat,3.5,10.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (4.90-5.06),18.8245,6.73915,0.0,14.77,9.34,8.33,12100.9091731
56,5.56,13.68,0.33,jsat,4,2.5,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,12177.2497157
64,8.43,2.86,0.88,jsat,4,10.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,12597.54803
84,5.84,6.26,0.63,jsat,3.5,10.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,12865.2779082
104,,25.34,,jsat,2.5,6.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34165 (3.52-3.70),18.8646,13.2777,0.0,,3.77,,12938.987206
