,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
602,3.91,12.59,0.25,jsat,2,,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,32238 (5.72-6.08),9.46889,0.0,0.0927535,8.46,16.52,8.16,20927.1935594
276,5.37,20.56,0.13,jsat,2,4.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,34189 (5.25-5.50),18.8304,10.1737,0.0,14.92,19.55,7.5,20948.766689
797,1.37,1.7,0.37,jsat,,3?,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,32931 (5.70-6.00),18.6992,10.9195,0.0,12.29,21.59,7.85,21070.7353992
1116,2.3,20.02,0.02,jsat,2,5,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,34189 (6.25-6.50),18.8269,13.0138,0.0,14.91,19.05,7.2,21114.1999114
1137,3.51,2.81,0.48,jsat,3?,2,32931 (5.70-6.00),18.6992,10.9195,0.0,12.29,21.59,7.85,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,21150.5856469
249,4.34,17.99,0.08,jsat,2,,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32235 (6.49-6.84),25.5133,0.0,0.274347,13.89,22.12,7.29,21198.8996375
523,2.15,1.13,0.04,jsat,,,32228 (6.20-6.48),25.7023,12.8457,,11.52,21.79,7.96,32235 (3.49-3.87),25.5696,0.0,0.962967,13.67,20.66,8.0,21257.1711307
44,11.23,0.77,2.53,jsat,2,10,28767 (2.00-2.50),1.34941,0.0,,4.04,15.88,5.9,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,21262.9611256
731,5.21,4.14,0.16,jsat,,,32235 (3.49-3.87),25.5696,0.0,0.962967,13.67,20.66,8.0,32238 (5.72-6.08),9.46889,0.0,0.0927535,8.46,16.52,8.16,21274.0374263
487,1.85,1.35,0.55,jsat,,,32228 (5.22-5.50),25.7248,9.63407,,11.81,21.24,8.03,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,21296.8767088
