,Quantity,Signal 1,Signal 2,DTW,
677,jsat,32225 (3.52-3.70),32238 (4.63-5.06),388290.58726501465,
683,jsat,32225 (3.52-3.70),32239 (5.80-6.10),389584.8490447998,
478,jsat,32201 (3.66-3.93),32238 (5.72-6.08),389816.84309387207,
1309,jsat,32235 (6.07-6.42),34188 (4.28-4.45),390305.2520751953,
1560,jsat,32239 (3.90-4.20),34188 (4.04-4.20),390317.4587402344,
477,jsat,32201 (3.66-3.93),32238 (4.63-5.06),390952.37242126465,
679,jsat,32225 (3.52-3.70),32238 (6.40-6.80),391159.9429168701,
764,jsat,32225 (5.52-5.95),32234 (5.10-5.55),391843.70822143555,
483,jsat,32201 (3.66-3.93),32239 (5.80-6.10),392246.6342010498,
1207,jsat,32235 (3.49-3.87),34188 (4.28-4.45),392319.9054412842,
1344,jsat,32235 (6.49-6.84),34188 (4.90-5.06),393076.90992736816,
479,jsat,32201 (3.66-3.93),32238 (6.40-6.80),393821.7280731201,
1275,jsat,32235 (5.55-5.98),34188 (4.28-4.45),394102.5643310547,
667,jsat,32225 (3.52-3.70),32234 (4.69-4.94),394945.0443267822,
448,jsat,32233 (2.76-2.96),34188 (4.28-4.45),396434.64404296875,
781,jsat,32225 (5.52-5.95),32239 (2.11-2.47),396752.13453674316,
467,jsat,32201 (3.66-3.93),32234 (4.69-4.94),397606.8294830322,
1653,jsat,32239 (2.11-2.47),34188 (4.90-5.06),397936.49977111816,
777,jsat,32225 (5.52-5.95),32239 (3.90-4.20),398144.07511901855,
769,jsat,32225 (5.52-5.95),32235 (6.49-6.84),398412.69508361816,
548,jsat,32201 (4.55-4.81),34165 (3.52-3.70),398583.6435546875,
759,jsat,32225 (5.52-5.95),32228 (6.20-6.48),400390.71951293945,
1343,jsat,32235 (6.49-6.84),34188 (4.28-4.45),401391.9400482178,
973,jsat,32228 (6.20-6.48),34188 (4.90-5.06),405335.76638793945,
675,jsat,32225 (3.52-3.70),32237 (3.74-4.01),405372.3960876465,
1556,jsat,32239 (3.90-4.20),34165 (2.00-2.33),405457.8737792969,
885,jsat,32228 (4.42-4.72),34188 (4.90-5.06),405567.75480651855,
884,jsat,32228 (4.42-4.72),34188 (4.28-4.45),406141.63761901855,
